model,free,default,vip,svip
gemini-3-flash-preview,0,1,1,1
gemini-3.5-flash,0,1,1,1
gemini-3.5-flash-lite,0,1,1,1
gemini-3.6-flash,0,1,1,1
openai/gpt-5.4,0,0,1,1
openai/gpt-5.4-mini,0,1,1,1
openai/gpt-5.4-nano,0,1,1,1
openai/gpt-5.5,0,0,0,1
openai/gpt-5.6-sol,0,0,0,1
openai/gpt-5.6-luna,0,0,1,1
openai/gpt-5.6-terra,0,1,1,1
openai/gpt-5.5,0,0,0,1
anthropic/claude-fable-5,0,0,0,1
anthropic/claude-opus-4.8,0,0,0,1
anthropic/claude-opus-4.7,0,0,1,1
anthropic/claude-opus-4.6,0,0,1,1
anthropic/claude-sonnet-4.6,0,1,1,1
anthropic/claude-haiku-4.5,0,1,1,1
